Date,Price,Open,High,Low,per_change
26-Dec-17,1.1859,1.1867,1.1879,1.1845,-0.0008
27-Dec-17,1.1888,1.1859,1.1912,1.1855,0.0024
28-Dec-17,1.1943,1.1888,1.1961,1.1888,0.0046
29-Dec-17,1.1998,1.1943,1.203,1.1937,0.0046
1-Jan-18,1.201,1.2003,1.2014,1.1995,0.001
2-Jan-18,1.2059,1.2013,1.2084,1.2003,0.0041
3-Jan-18,1.2014,1.2058,1.207,1.2001,-0.0037
4-Jan-18,1.2068,1.2015,1.209,1.2004,0.0045
5-Jan-18,1.203,1.2068,1.2085,1.2021,-0.0031
8-Jan-18,1.1967,1.2029,1.2054,1.1956,-0.0052
9-Jan-18,1.1937,1.1967,1.1977,1.1916,-0.0025
10-Jan-18,1.1947,1.1938,1.2019,1.1923,0.0008
11-Jan-18,1.2032,1.1946,1.206,1.1928,0.0071
12-Jan-18,1.2187,1.2033,1.219,1.2031,0.0129
15-Jan-18,1.2263,1.2198,1.2298,1.2188,0.0062
16-Jan-18,1.2261,1.2265,1.2284,1.2194,-0.0002
17-Jan-18,1.2186,1.226,1.2324,1.2176,-0.0061
18-Jan-18,1.2239,1.2186,1.2267,1.2165,0.0043
19-Jan-18,1.2222,1.2236,1.2296,1.2219,-0.0014
22-Jan-18,1.2262,1.2268,1.2276,1.2214,0.0033
23-Jan-18,1.2299,1.2263,1.2308,1.2223,0.003
24-Jan-18,1.2408,1.2299,1.2417,1.2293,0.0089
25-Jan-18,1.2396,1.2408,1.2537,1.2364,-0.001
26-Jan-18,1.2421,1.2395,1.2495,1.2371,0.002
29-Jan-18,1.2383,1.2427,1.2436,1.2336,-0.0031
30-Jan-18,1.2402,1.2383,1.2455,1.2335,0.0015
31-Jan-18,1.2421,1.2401,1.2476,1.2386,0.0015
1-Feb-18,1.251,1.2414,1.2524,1.2386,0.0072
2-Feb-18,1.2462,1.2508,1.2519,1.2409,-0.0038
5-Feb-18,1.2368,1.2455,1.2475,1.2362,-0.0075
6-Feb-18,1.2377,1.2367,1.2434,1.2314,0.0007
7-Feb-18,1.2264,1.2378,1.2407,1.2247,-0.0091
8-Feb-18,1.2247,1.2264,1.2297,1.2212,-0.0014
9-Feb-18,1.2235,1.2245,1.2289,1.2206,-0.001
12-Feb-18,1.2292,1.2253,1.2298,1.2234,0.0047
13-Feb-18,1.2352,1.2293,1.2373,1.2285,0.0049
14-Feb-18,1.245,1.2352,1.2467,1.2276,0.0079
15-Feb-18,1.2506,1.2449,1.2511,1.2447,0.0045
16-Feb-18,1.2406,1.2506,1.2557,1.2394,-0.008
19-Feb-18,1.2408,1.2409,1.2435,1.2368,0.0002
20-Feb-18,1.2338,1.2409,1.2414,1.232,-0.0056
21-Feb-18,1.2284,1.2338,1.2361,1.2281,-0.0044
22-Feb-18,1.2331,1.2283,1.2354,1.226,0.0038
23-Feb-18,1.2293,1.2329,1.2337,1.2279,-0.0031
26-Feb-18,1.2318,1.2299,1.2356,1.2278,0.002
27-Feb-18,1.2232,1.2317,1.2348,1.2221,-0.007
28-Feb-18,1.2194,1.2232,1.2243,1.2188,-0.0031
1-Mar-18,1.2268,1.2193,1.2272,1.2153,0.0061
2-Mar-18,1.2317,1.2266,1.2336,1.225,0.004
5-Mar-18,1.2336,1.2323,1.2366,1.2268,0.0015
6-Mar-18,1.2404,1.2336,1.2422,1.2328,0.0055
7-Mar-18,1.2413,1.2404,1.2445,1.2385,0.0007
8-Mar-18,1.2312,1.2411,1.2448,1.2298,-0.0081
9-Mar-18,1.2307,1.2312,1.2336,1.2273,-0.0004
12-Mar-18,1.2334,1.2311,1.2347,1.2291,0.0022
13-Mar-18,1.239,1.2334,1.2408,1.2314,0.0045
14-Mar-18,1.2367,1.239,1.2414,1.2347,-0.0019
15-Mar-18,1.2305,1.2366,1.2385,1.2299,-0.005
16-Mar-18,1.2289,1.2305,1.2338,1.2261,-0.0013
19-Mar-18,1.2335,1.2284,1.2361,1.2258,0.0037
20-Mar-18,1.2242,1.2335,1.2356,1.2239,-0.0075
21-Mar-18,1.2338,1.2242,1.2351,1.2241,0.0078
22-Mar-18,1.2302,1.2337,1.2389,1.2285,-0.0029
23-Mar-18,1.2353,1.2302,1.2375,1.2301,0.0041
26-Mar-18,1.2443,1.2348,1.2463,1.2341,0.0073
27-Mar-18,1.2403,1.2444,1.2478,1.2373,-0.0032
